uuid,time_min_offset,time_max_offset,x,y,z,confidence,Begin File,Begin Time (s),End Time (s),Begin Date Time,Class,Sound type,Confidence,x_m,y_m,z_m,x_err_low_m,x_err_high_m,x_err_span_m,y_err_low_m,y_err_high_m,y_err_span_m,z_err_low_m,z_err_high_m,z_err_span_m,Energy (dB FS),SNR NIST Quick (dB),source_selection_file
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:351,1520.170000000,1520.330000000,0.500000000000003,0.900000000000003,-0.419999999999999,0,AMAR173.4.20220813T020710Z.wav,1520.170000000,1520.330000000,2022/8/13  2:32:30.1700,NA,NA,0,0.500000000000003,0.900000000000003,-0.419999999999999,0.280000000000003,0.720000000000003,0.44,0.700000000000003,1.08,0.38,-0.619999999999999,-0.159999999999999,0.46,-13.412,17.32,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:461,285.710000000,285.750000000,-0.0999999999999974,0.900000000000003,0.480000000000002,0,AMAR173.4.20220813T020710Z.wav,285.710000000,285.750000000,2022/8/13  2:11:55.7100,NA,NA,0,-0.0999999999999974,0.900000000000003,0.480000000000002,-0.379999999999998,0.280000000000003,0.660000000000001,-0.139999999999997,1.38,1.52,-0.899999999999999,1.06,1.96,-42.733,13.03,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:510,1493.730000000,1494.030000000,-0.599999999999998,-0.499999999999998,-1.24,0,AMAR173.4.20220813T020710Z.wav,1493.730000000,1494.030000000,2022/8/13  2:32:03.7300,NA,NA,0,-0.599999999999998,-0.499999999999998,-1.24,-0.599999999999998,-0.559999999999998,0.04,-0.499999999999998,-0.479999999999998,0.02,-1.26,-1.22,0.04,3.267,22.80,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:1700,181.720000000,181.830000000,0.440000000000003,-0.639999999999998,-1.12,0,AMAR173.4.20220813T020710Z.wav,181.720000000,181.830000000,2022/8/13  2:10:11.7200,NA,NA,0,0.440000000000003,-0.639999999999998,-1.12,0.440000000000003,0.460000000000003,0.02,-0.639999999999998,-0.619999999999998,0.02,-1.14,-1.1,0.04,0.386,22.65,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:1703,1494.920000000,1495.330000000,-0.939999999999998,-0.859999999999998,-1.2,0,AMAR173.4.20220813T020710Z.wav,1494.920000000,1495.330000000,2022/8/13  2:32:04.9200,NA,NA,0,-0.939999999999998,-0.859999999999998,-1.2,-0.959999999999998,-0.919999999999998,0.04,-0.859999999999998,-0.799999999999998,0.0600000000000001,-1.22,-1.18,0.04,-1.035,26.46,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:1962,657.470000000,657.510000000,0.920000000000003,0.960000000000004,-1.5,0,AMAR173.4.20220813T020710Z.wav,657.470000000,657.510000000,2022/8/13  2:18:07.4700,NA,NA,0,0.920000000000003,0.960000000000004,-1.5,0.620000000000003,1.3,0.680000000000001,0.660000000000003,1.36,0.700000000000001,-1.5,-1.22,0.28,-25.894,15.63,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2050,182.990000000,183.110000000,0.380000000000003,-0.739999999999998,-0.96,0,AMAR173.4.20220813T020710Z.wav,182.990000000,183.110000000,2022/8/13  2:10:12.9900,NA,NA,0,0.380000000000003,-0.739999999999998,-0.96,0.360000000000003,0.400000000000003,0.04,-0.759999999999998,-0.699999999999998,0.0600000000000001,-0.98,-0.839999999999999,0.14,1.932,24.48,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2112,1494.110000000,1494.540000000,-0.819999999999998,-0.679999999999998,-1.18,0,AMAR173.4.20220813T020710Z.wav,1494.110000000,1494.540000000,2022/8/13  2:32:04.1100,NA,NA,0,-0.819999999999998,-0.679999999999998,-1.18,-0.819999999999998,-0.799999999999998,0.02,-0.679999999999998,-0.659999999999998,0.02,-1.18,-1.16,0.02,1.870,28.04,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2324,181.470000000,181.580000000,0.480000000000003,-0.519999999999998,-1.06,0,AMAR173.4.20220813T020710Z.wav,181.470000000,181.580000000,2022/8/13  2:10:11.4700,NA,NA,0,0.480000000000003,-0.519999999999998,-1.06,0.480000000000003,0.520000000000003,0.04,-0.519999999999998,-0.499999999999998,0.02,-1.08,-1.04,0.04,-1.597,21.40,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2406,1114.910000000,1115.120000000,-0.119999999999997,0.500000000000003,-1.5,0,AMAR173.4.20220813T020710Z.wav,1114.910000000,1115.120000000,2022/8/13  2:25:44.9100,NA,NA,0,-0.119999999999997,0.500000000000003,-1.5,-0.679999999999998,0.700000000000003,1.38,-0.299999999999998,1.12,1.42,-1.5,-1.18,0.32,-10.927,20.31,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2473,182.000000000,182.120000000,0.420000000000003,-0.619999999999998,-1.14,0,AMAR173.4.20220813T020710Z.wav,182.000000000,182.120000000,2022/8/13  2:10:12.0000,NA,NA,0,0.420000000000003,-0.619999999999998,-1.14,0.420000000000003,0.440000000000003,0.02,-0.619999999999998,-0.579999999999998,0.04,-1.16,-1.12,0.04,2.562,25.77,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2478,1112.880000000,1112.990000000,-0.539999999999998,0.800000000000003,-0.419999999999999,0,AMAR173.4.20220813T020710Z.wav,1112.880000000,1112.990000000,2022/8/13  2:25:42.8800,NA,NA,0,-0.539999999999998,0.800000000000003,-0.419999999999999,-0.719999999999998,-0.339999999999998,0.38,0.520000000000003,1.02,0.5,-0.639999999999999,-0.159999999999999,0.48,-27.153,11.49,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2488,740.030000000,740.070000000,-0.499999999999998,-0.299999999999998,-1.5,0,AMAR173.4.20220813T020710Z.wav,740.030000000,740.070000000,2022/8/13  2:19:30.0300,NA,NA,0,-0.499999999999998,-0.299999999999998,-1.5,-0.639999999999998,-0.339999999999998,0.3,-0.439999999999998,-0.159999999999997,0.28,-1.5,-1.36,0.14,-27.979,10.21,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2534,1615.690000000,1615.870000000,-0.859999999999998,-0.139999999999997,0.820000000000002,0,AMAR173.4.20220813T020710Z.wav,1615.690000000,1615.870000000,2022/8/13  2:34:05.6900,NA,NA,0,-0.859999999999998,-0.139999999999997,0.820000000000002,-0.999999999999998,-0.699999999999998,0.3,-0.259999999999998,0.0200000000000027,0.28,0.480000000000002,1.06,0.580000000000001,-12.146,21.23,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2647,916.120000000,916.220000000,0.0200000000000027,2.66453525910038e-15,0.0600000000000014,0,AMAR173.4.20220813T020710Z.wav,916.120000000,916.220000000,2022/8/13  2:22:26.1200,NA,NA,0,0.0200000000000027,2.66453525910038e-15,0.0600000000000014,-0.359999999999998,0.380000000000003,0.740000000000001,-0.459999999999998,0.340000000000003,0.800000000000001,-0.299999999999999,0.620000000000002,0.920000000000001,-26.307,14.32,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2783,628.070000000,628.160000000,-0.859999999999998,-0.159999999999997,-1.5,0,AMAR173.4.20220813T020710Z.wav,628.070000000,628.160000000,2022/8/13  2:17:38.0700,NA,NA,0,-0.859999999999998,-0.159999999999997,-1.5,-1.72,0.200000000000003,1.92,-0.479999999999998,0.160000000000003,0.640000000000001,-1.5,-0.879999999999999,0.620000000000001,-16.950,20.30,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
