uuid,time_min_offset,time_max_offset,x,y,z,confidence,Begin File,Begin Time (s),End Time (s),Begin Date Time,Class,Sound type,Confidence,x_m,y_m,z_m,x_err_low_m,x_err_high_m,x_err_span_m,y_err_low_m,y_err_high_m,y_err_span_m,z_err_low_m,z_err_high_m,z_err_span_m,Energy (dB FS),SNR NIST Quick (dB),source_selection_file
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:86,497.510000000,497.600000000,0.700000000000003,0.800000000000003,-1.5,0,AMAR173.4.20220819T030710Z.wav,497.510000000,497.600000000,2022/8/19  3:15:27.5100,NA,NA,0,0.700000000000003,0.800000000000003,-1.5,0.340000000000003,1.14,0.800000000000001,0.420000000000003,1.24,0.820000000000001,-1.5,-1.16,0.34,-17.347,15.26,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:221,550.790000000,550.890000000,0.340000000000003,-0.319999999999998,-1.22,0,AMAR173.4.20220819T030710Z.wav,550.790000000,550.890000000,2022/8/19  3:16:20.7900,NA,NA,0,0.340000000000003,-0.319999999999998,-1.22,0.280000000000003,0.400000000000003,0.12,-0.379999999999998,-0.239999999999998,0.14,-1.3,-1.12,0.18,-15.196,15.14,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:3642,338.090000000,338.200000000,0.500000000000003,0.520000000000003,-1.5,0,AMAR173.4.20220819T030710Z.wav,338.090000000,338.200000000,2022/8/19  3:12:48.0900,NA,NA,0,0.500000000000003,0.520000000000003,-1.5,-0.219999999999998,1.24,1.46,-0.279999999999998,1.24,1.52,-1.5,-1.1,0.4,-26.186,15.66,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:88,498.630000000,498.740000000,0.160000000000003,0.600000000000003,-1.02,0,AMAR173.4.20220819T030710Z.wav,498.630000000,498.740000000,2022/8/19  3:15:28.6300,NA,NA,0,0.160000000000003,0.600000000000003,-1.02,0.100000000000003,0.220000000000003,0.12,0.540000000000003,0.660000000000003,0.12,-1.08,-0.94,0.14,-15.180,19.17,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:243,558.160000000,558.270000000,0.160000000000003,-0.0999999999999974,-1.26,0,AMAR173.4.20220819T030710Z.wav,558.160000000,558.270000000,2022/8/19  3:16:28.1600,NA,NA,0,0.160000000000003,-0.0999999999999974,-1.26,0.140000000000003,0.200000000000003,0.0600000000000001,-0.119999999999997,-0.0599999999999974,0.0600000000000001,-1.28,-1.22,0.0600000000000001,-16.038,18.96,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1279,1001.490000000,1001.600000000,-0.0999999999999974,-0.439999999999998,-1.1,0,AMAR173.4.20220819T030710Z.wav,1001.490000000,1001.600000000,2022/8/19  3:23:51.4900,NA,NA,0,-0.0999999999999974,-0.439999999999998,-1.1,-0.0999999999999974,-0.0599999999999974,0.04,-0.439999999999998,-0.399999999999998,0.04,-1.1,-1.08,0.02,-14.807,16.01,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1515,1108.090000000,1108.210000000,-0.719999999999998,0.160000000000003,-1.5,0,AMAR173.4.20220819T030710Z.wav,1108.090000000,1108.210000000,2022/8/19  3:25:38.0900,NA,NA,0,-0.719999999999998,0.160000000000003,-1.5,-1.26,0.240000000000003,1.5,-0.0999999999999974,0.440000000000003,0.54,-1.5,-1.02,0.48,-16.287,14.85,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:3115,1737.530000000,1737.650000000,0.400000000000003,-0.879999999999998,0.840000000000002,0,AMAR173.4.20220819T030710Z.wav,1737.530000000,1737.650000000,2022/8/19  3:36:07.5300,NA,NA,0,0.400000000000003,-0.879999999999998,0.840000000000002,0.320000000000003,0.500000000000003,0.18,-0.959999999999998,-0.779999999999998,0.18,0.700000000000002,0.980000000000002,0.28,-19.283,12.72,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1462,1088.920000000,1089.050000000,-0.199999999999998,0.460000000000003,-1.22,0,AMAR173.4.20220819T030710Z.wav,1088.920000000,1089.050000000,2022/8/19  3:25:18.9200,NA,NA,0,-0.199999999999998,0.460000000000003,-1.22,-0.239999999999998,-0.159999999999997,0.0800000000000001,0.420000000000003,0.500000000000003,0.0800000000000001,-1.26,-1.14,0.12,-9.371,21.35,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:3840,416.720000000,416.850000000,0.280000000000003,0.560000000000003,-1.44,0,AMAR173.4.20220819T030710Z.wav,416.720000000,416.850000000,2022/8/19  3:14:06.7200,NA,NA,0,0.280000000000003,0.560000000000003,-1.44,0.160000000000003,0.460000000000003,0.3,0.420000000000003,0.740000000000003,0.32,-1.5,-1.3,0.2,-16.981,14.05,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1282,1002.050000000,1002.190000000,-0.159999999999997,-0.399999999999998,-1.12,0,AMAR173.4.20220819T030710Z.wav,1002.050000000,1002.190000000,2022/8/19  3:23:52.0500,NA,NA,0,-0.159999999999997,-0.399999999999998,-1.12,-0.179999999999997,-0.139999999999997,0.04,-0.419999999999998,-0.379999999999998,0.04,-1.14,-1.08,0.0600000000000001,-14.864,17.12,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:3124,175.650000000,175.820000000,0.200000000000003,0.240000000000003,-1.32,0,AMAR173.4.20220819T030710Z.wav,175.650000000,175.820000000,2022/8/19  3:10:05.6500,NA,NA,0,0.200000000000003,0.240000000000003,-1.32,-0.119999999999997,0.560000000000003,0.680000000000001,-0.0799999999999974,0.600000000000003,0.680000000000001,-1.5,-1.1,0.4,-13.013,17.23,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1171,961.830000000,962.010000000,-0.759999999999998,0.580000000000003,0.100000000000001,0,AMAR173.4.20220819T030710Z.wav,961.830000000,962.010000000,2022/8/19  3:23:11.8300,NA,NA,0,-0.759999999999998,0.580000000000003,0.100000000000001,-0.859999999999998,-0.639999999999998,0.22,0.460000000000003,0.700000000000003,0.24,-0.0799999999999987,0.280000000000002,0.36,-14.920,15.96,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1463,1089.100000000,1089.280000000,-0.379999999999998,0.420000000000003,-0.96,0,AMAR173.4.20220819T030710Z.wav,1089.100000000,1089.280000000,2022/8/19  3:25:19.1000,NA,NA,0,-0.379999999999998,0.420000000000003,-0.96,-0.399999999999998,-0.339999999999998,0.0600000000000001,0.400000000000003,0.460000000000003,0.0600000000000001,-1,-0.919999999999999,0.0800000000000001,-11.639,19.38,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1445,1082.570000000,1082.760000000,0.520000000000003,0.280000000000003,-1.2,0,AMAR173.4.20220819T030710Z.wav,1082.570000000,1082.760000000,2022/8/19  3:25:12.5700,NA,NA,0,0.520000000000003,0.280000000000003,-1.2,0.520000000000003,0.540000000000003,0.02,0.280000000000003,0.300000000000003,0.02,-1.2,-1.14,0.0600000000000001,-1.872,22.02,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:89,498.770000000,498.990000000,0.240000000000003,0.660000000000003,-1.2,0,AMAR173.4.20220819T030710Z.wav,498.770000000,498.990000000,2022/8/19  3:15:28.7700,NA,NA,0,0.240000000000003,0.660000000000003,-1.2,0.0800000000000027,0.400000000000003,0.32,0.480000000000003,0.840000000000003,0.36,-1.36,-1.02,0.34,-11.427,15.73,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:2750,1583.280000000,1583.530000000,-0.919999999999998,-0.419999999999998,0.820000000000002,0,AMAR173.4.20220819T030710Z.wav,1583.280000000,1583.530000000,2022/8/19  3:33:33.2800,NA,NA,0,-0.919999999999998,-0.419999999999998,0.820000000000002,-1.16,-0.259999999999998,0.900000000000001,-0.599999999999998,-0.119999999999997,0.48,0.100000000000001,1.32,1.22,-12.158,18.88,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1284,1002.440000000,1002.710000000,-0.139999999999997,-0.479999999999998,-1.02,0,AMAR173.4.20220819T030710Z.wav,1002.440000000,1002.710000000,2022/8/19  3:23:52.4400,NA,NA,0,-0.139999999999997,-0.479999999999998,-1.02,-0.199999999999998,-0.0799999999999974,0.12,-0.539999999999998,-0.379999999999998,0.16,-1.1,-0.879999999999999,0.22,-12.720,16.15,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:276,570.240000000,570.520000000,0.520000000000003,0.500000000000003,-1.32,0,AMAR173.4.20220819T030710Z.wav,570.240000000,570.520000000,2022/8/19  3:16:40.2400,NA,NA,0,0.520000000000003,0.500000000000003,-1.32,0.460000000000003,0.600000000000003,0.14,0.440000000000003,0.580000000000003,0.14,-1.38,-1.22,0.16,-11.935,16.16,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt:1461,1088.400000000,1088.800000000,-0.0799999999999974,0.400000000000003,-1.3,0,AMAR173.4.20220819T030710Z.wav,1088.400000000,1088.800000000,2022/8/19  3:25:18.4000,NA,NA,0,-0.0799999999999974,0.400000000000003,-1.3,-0.0999999999999974,-0.0599999999999974,0.04,0.380000000000003,0.420000000000003,0.04,-1.32,-1.26,0.0600000000000001,1.992,19.55,AMAR173.4.20220819T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:50,1113.290000000,1113.330000000,-0.199999999999998,-0.679999999999998,-0.179999999999999,0,AMAR173.4.20220819T033710Z.wav,1113.290000000,1113.330000000,2022/8/19  3:55:43.2900,NA,NA,0,-0.199999999999998,-0.679999999999998,-0.179999999999999,-0.519999999999998,0.100000000000003,0.620000000000001,-1.06,-0.0599999999999974,1,-0.659999999999999,0.220000000000002,0.880000000000001,-33.658,12.46,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:788,1110.100000000,1110.180000000,-0.319999999999998,-0.319999999999998,-1.08,0,AMAR173.4.20220819T033710Z.wav,1110.100000000,1110.180000000,2022/8/19  3:55:40.1000,NA,NA,0,-0.319999999999998,-0.319999999999998,-1.08,-0.599999999999998,-0.0399999999999974,0.56,-0.599999999999998,-0.0199999999999974,0.580000000000001,-1.38,-0.719999999999999,0.660000000000001,-28.582,23.59,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:792,455.190000000,455.360000000,-0.659999999999998,0.540000000000003,-1.04,0,AMAR173.4.20220819T033710Z.wav,455.190000000,455.360000000,2022/8/19  3:44:45.1900,NA,NA,0,-0.659999999999998,0.540000000000003,-1.04,-0.679999999999998,-0.639999999999998,0.04,0.540000000000003,0.600000000000003,0.0600000000000001,-1.06,-1,0.0600000000000001,-13.359,17.02,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:793,1066.320000000,1066.360000000,0.660000000000003,0.720000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,1066.320000000,1066.360000000,2022/8/19  3:54:56.3200,NA,NA,0,0.660000000000003,0.720000000000003,-1.5,0.220000000000003,1.12,0.900000000000001,0.260000000000003,1.2,0.940000000000001,-1.5,-1.24,0.26,-19.032,15.74,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:932,470.540000000,470.720000000,-0.719999999999998,0.420000000000003,-0.94,0,AMAR173.4.20220819T033710Z.wav,470.540000000,470.720000000,2022/8/19  3:45:00.5400,NA,NA,0,-0.719999999999998,0.420000000000003,-0.94,-0.939999999999998,-0.459999999999998,0.48,0.200000000000003,0.580000000000003,0.38,-1.24,-0.539999999999999,0.700000000000001,-17.270,15.63,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:1659,1492.800000000,1492.890000000,0.800000000000003,0.820000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,1492.800000000,1492.890000000,2022/8/19  4:02:02.8000,NA,NA,0,0.800000000000003,0.820000000000003,-1.5,0.320000000000003,1.3,0.980000000000001,0.340000000000003,1.34,1,-1.5,-1.2,0.3,-30.339,9.00,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:1860,191.430000000,191.730000000,0.500000000000003,-0.899999999999998,-1.1,0,AMAR173.4.20220819T033710Z.wav,191.430000000,191.730000000,2022/8/19  3:40:21.4300,NA,NA,0,0.500000000000003,-0.899999999999998,-1.1,0.440000000000003,0.580000000000003,0.14,-0.979999999999998,-0.799999999999998,0.18,-1.22,-0.94,0.28,-13.598,12.93,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:1977,453.060000000,453.160000000,-0.639999999999998,0.600000000000003,-1.06,0,AMAR173.4.20220819T033710Z.wav,453.060000000,453.160000000,2022/8/19  3:44:43.0600,NA,NA,0,-0.639999999999998,0.600000000000003,-1.06,-0.699999999999998,-0.579999999999998,0.12,0.540000000000003,0.680000000000003,0.14,-1.16,-0.94,0.22,-18.969,16.92,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2051,1165.820000000,1165.900000000,0.720000000000003,0.840000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,1165.820000000,1165.900000000,2022/8/19  3:56:35.8200,NA,NA,0,0.720000000000003,0.840000000000003,-1.5,0.300000000000003,1.22,0.920000000000001,0.360000000000003,1.34,0.98,-1.5,-1.18,0.32,-24.105,21.89,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2164,648.930000000,649.230000000,-0.659999999999998,0.500000000000003,-1.06,0,AMAR173.4.20220819T033710Z.wav,648.930000000,649.230000000,2022/8/19  3:47:58.9300,NA,NA,0,-0.659999999999998,0.500000000000003,-1.06,-0.739999999999998,-0.579999999999998,0.16,0.440000000000003,0.580000000000003,0.14,-1.16,-0.879999999999999,0.28,-8.960,17.25,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2227,469.990000000,470.080000000,0.500000000000003,0.640000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,469.990000000,470.080000000,2022/8/19  3:44:59.9900,NA,NA,0,0.500000000000003,0.640000000000003,-1.5,-0.0999999999999974,1.16,1.26,-0.0799999999999974,1.32,1.4,-1.5,-1.12,0.38,-24.646,13.78,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2299,648.120000000,648.290000000,-0.499999999999998,0.920000000000003,-1.2,0,AMAR173.4.20220819T033710Z.wav,648.120000000,648.290000000,2022/8/19  3:47:58.1200,NA,NA,0,-0.499999999999998,0.920000000000003,-1.2,-0.519999999999998,-0.459999999999998,0.0600000000000001,0.880000000000003,0.980000000000004,0.1,-1.24,-1.12,0.12,-6.249,19.22,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2315,959.210000000,959.290000000,0.460000000000003,0.580000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,959.210000000,959.290000000,2022/8/19  3:53:09.2100,NA,NA,0,0.460000000000003,0.580000000000003,-1.5,-0.159999999999997,1.08,1.24,-0.119999999999997,1.24,1.36,-1.5,-1.18,0.32,-25.828,15.73,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2455,453.530000000,453.610000000,-0.859999999999998,0.880000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,453.530000000,453.610000000,2022/8/19  3:44:43.5300,NA,NA,0,-0.859999999999998,0.880000000000003,-1.5,-1.5,-0.159999999999997,1.34,0.380000000000003,1.38,1,-1.5,-1.18,0.32,-22.003,12.07,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2501,193.080000000,193.150000000,0.660000000000003,-0.599999999999998,-1.46,0,AMAR173.4.20220819T033710Z.wav,193.080000000,193.150000000,2022/8/19  3:40:23.0800,NA,NA,0,0.660000000000003,-0.599999999999998,-1.46,0.520000000000003,0.920000000000003,0.4,-0.739999999999998,-0.399999999999998,0.34,-1.5,-1.26,0.24,-24.516,9.30,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2622,935.620000000,935.890000000,-0.799999999999998,0.760000000000003,-1.32,0,AMAR173.4.20220819T033710Z.wav,935.620000000,935.890000000,2022/8/19  3:52:45.6200,NA,NA,0,-0.799999999999998,0.760000000000003,-1.32,-0.799999999999998,-0.779999999999998,0.02,0.760000000000003,0.780000000000003,0.02,-1.34,-1.3,0.04,-2.936,19.90,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2695,1750.440000000,1750.690000000,0.120000000000003,0.580000000000003,-0.219999999999999,0,AMAR173.4.20220819T033710Z.wav,1750.440000000,1750.690000000,2022/8/19  4:06:20.4400,NA,NA,0,0.120000000000003,0.580000000000003,-0.219999999999999,-0.159999999999997,0.440000000000003,0.600000000000001,0.360000000000003,0.840000000000003,0.48,-0.599999999999999,0.140000000000001,0.740000000000001,-6.215,20.72,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:2752,489.000000000,489.380000000,-0.799999999999998,-0.199999999999998,-0.899999999999999,0,AMAR173.4.20220819T033710Z.wav,489.000000000,489.380000000,2022/8/19  3:45:19.0000,NA,NA,0,-0.799999999999998,-0.199999999999998,-0.899999999999999,-1.12,-0.319999999999998,0.800000000000001,-0.379999999999998,0.0200000000000027,0.4,-1.26,-0.459999999999999,0.800000000000001,-7.471,16.64,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:3024,936.070000000,936.230000000,-0.779999999999998,0.720000000000003,-1.28,0,AMAR173.4.20220819T033710Z.wav,936.070000000,936.230000000,2022/8/19  3:52:46.0700,NA,NA,0,-0.779999999999998,0.720000000000003,-1.28,-0.799999999999998,-0.759999999999998,0.04,0.700000000000003,0.760000000000003,0.0600000000000001,-1.3,-1.18,0.12,-4.113,22.99,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:3485,191.060000000,191.140000000,0.760000000000003,-0.619999999999998,-1.5,0,AMAR173.4.20220819T033710Z.wav,191.060000000,191.140000000,2022/8/19  3:40:21.0600,NA,NA,0,0.760000000000003,-0.619999999999998,-1.5,0.560000000000003,1.02,0.46,-0.799999999999998,-0.299999999999998,0.5,-1.5,-1.34,0.16,-21.861,10.93,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:3727,1485.170000000,1485.220000000,0.560000000000003,0.580000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,1485.170000000,1485.220000000,2022/8/19  4:01:55.1700,NA,NA,0,0.560000000000003,0.580000000000003,-1.5,2.66453525910038e-15,1.18,1.18,-0.0399999999999974,1.18,1.22,-1.5,-1.18,0.32,-19.340,19.17,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:3790,414.660000000,414.780000000,-0.999999999999998,0.900000000000003,-1.5,0,AMAR173.4.20220819T033710Z.wav,414.660000000,414.780000000,2022/8/19  3:44:04.6600,NA,NA,0,-0.999999999999998,0.900000000000003,-1.5,-1.02,-0.959999999999998,0.0600000000000001,0.880000000000003,1.02,0.14,-1.5,-1.46,0.04,-13.236,15.85,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt:3860,409.380000000,409.500000000,-0.439999999999998,0.980000000000004,-1.5,0,AMAR173.4.20220819T033710Z.wav,409.380000000,409.500000000,2022/8/19  3:43:59.3800,NA,NA,0,-0.439999999999998,0.980000000000004,-1.5,-0.479999999999998,-0.359999999999998,0.12,0.920000000000003,1.26,0.34,-1.5,-1.4,0.1,-15.616,20.14,AMAR173.4.20220819T033710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:2811,43.070000000,43.170000000,0.560000000000003,0.920000000000003,-0.519999999999999,0,AMAR173.4.20220819T153710Z.wav,43.070000000,43.170000000,2022/8/19  15:37:53.0700,NA,NA,0,0.560000000000003,0.920000000000003,-0.519999999999999,0.520000000000003,0.640000000000003,0.12,0.880000000000003,0.980000000000004,0.1,-0.559999999999999,-0.459999999999999,0.1,-9.913,15.73,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:612,46.210000000,46.290000000,0.740000000000003,0.860000000000003,-1.5,0,AMAR173.4.20220819T153710Z.wav,46.210000000,46.290000000,2022/8/19  15:37:56.2100,NA,NA,0,0.740000000000003,0.860000000000003,-1.5,0.220000000000003,1.3,1.08,0.280000000000003,1.44,1.16,-1.5,-1.16,0.34,-15.185,14.51,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:395,134.200000000,134.240000000,0.560000000000003,0.760000000000003,-1.5,0,AMAR173.4.20220819T153710Z.wav,134.200000000,134.240000000,2022/8/19  15:39:24.2000,NA,NA,0,0.560000000000003,0.760000000000003,-1.5,0.100000000000003,1.06,0.960000000000001,0.220000000000003,1.32,1.1,-1.5,-1.18,0.32,-22.634,20.35,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:1216,153.900000000,153.970000000,0.620000000000003,0.680000000000003,-1.5,0,AMAR173.4.20220819T153710Z.wav,153.900000000,153.970000000,2022/8/19  15:39:43.9000,NA,NA,0,0.620000000000003,0.680000000000003,-1.5,0.120000000000003,1.16,1.04,0.120000000000003,1.22,1.1,-1.5,-1.2,0.3,-20.822,16.54,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:656,257.590000000,258.900000000,0.740000000000003,-0.859999999999998,0.580000000000002,0,AMAR173.4.20220819T153710Z.wav,257.590000000,258.900000000,2022/8/19  15:41:27.5900,NA,NA,0,0.740000000000003,-0.859999999999998,0.580000000000002,0.740000000000003,0.780000000000003,0.04,-0.859999999999998,-0.839999999999998,0.02,0.560000000000002,0.600000000000002,0.04,0.976,16.41,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:184,271.770000000,271.820000000,0.320000000000003,0.400000000000003,-1.5,0,AMAR173.4.20220819T153710Z.wav,271.770000000,271.820000000,2022/8/19  15:41:41.7700,NA,NA,0,0.320000000000003,0.400000000000003,-1.5,-0.459999999999998,1.1,1.56,-0.559999999999998,1.18,1.74,-1.5,-1.08,0.42,-19.925,18.31,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:428,316.860000000,316.980000000,-0.579999999999998,0.380000000000003,0.0600000000000014,0,AMAR173.4.20220819T153710Z.wav,316.860000000,316.980000000,2022/8/19  15:42:26.8600,NA,NA,0,-0.579999999999998,0.380000000000003,0.0600000000000014,-0.639999999999998,-0.499999999999998,0.14,0.300000000000003,0.460000000000003,0.16,-0.0399999999999987,0.200000000000002,0.24,-17.178,14.85,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:67,386.800000000,386.920000000,-0.479999999999998,0.620000000000003,0.760000000000002,0,AMAR173.4.20220819T153710Z.wav,386.800000000,386.920000000,2022/8/19  15:43:36.8000,NA,NA,0,-0.479999999999998,0.620000000000003,0.760000000000002,-0.499999999999998,-0.439999999999998,0.0600000000000001,0.600000000000003,0.680000000000003,0.0800000000000001,0.720000000000002,0.840000000000002,0.12,-14.649,15.57,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt:764,621.940000000,622.030000000,0.180000000000003,0.760000000000003,-0.599999999999999,0,AMAR173.4.20220819T153710Z.wav,621.940000000,622.030000000,2022/8/19  15:47:31.9400,NA,NA,0,0.180000000000003,0.760000000000003,-0.599999999999999,-0.139999999999997,0.500000000000003,0.640000000000001,0.0800000000000027,1.08,1,-0.919999999999999,-0.159999999999999,0.760000000000001,-10.246,14.14,AMAR173.4.20220819T153710Z.wav.chan0.Table.1.selections.FS.txt
