Selection,View,Channel,Begin Time (s),End Time (s),Delta Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Agg Entropy (bits),Avg Amp (U),Avg Entropy (bits),Avg Power Density (dB FS/Hz),BW 50% (Hz),BW 90% (Hz),Begin Clock Time,Begin Date,Begin Date Time,Beg File Samp (samples),Begin Hour,Begin Sample (samples),Center Freq (Hz),Center Time (s),Center Time Rel.,Delta Freq (Hz),Delta Power (dB/Hz),Dur 50% (s),Dur 90% (s),End Clock Time,End Date,End File,End File Samp (samples),End Path,End Sample (samples),Energy (dB FS),F-RMS Amp (U),Freq 25% (Hz),Freq 5% (Hz),Freq 75% (Hz),Freq 95% (Hz),Freq Contour  5% (Hz),Freq Contour 25% (Hz),Freq Contour 50% (Hz),Freq Contour 75% (Hz),Freq Contour 95% (Hz),Inband Power (dB FS),Length (frames),Leq (dB FS),Max Amp (U),Max Bearing (deg),Max Entropy (bits),Max Freq (Hz),Max Time (s),Min Amp (U),Min Entropy (bits),Min Time (s),Peak Amp (U),Peak Corr (U),Peak Freq (Hz),Peak Freq Contour (Hz),PFC Avg Slope (Hz/ms),PFC Max Freq (Hz),PFC Max Slope (Hz/ms),PFC Min Freq (Hz),PFC Min Slope (Hz/ms),PFC Num Inf Pts,PFC Slope (Hz/ms),Peak Lag (s),Peak Power Density (dB FS/Hz),Peak Time (s),Peak Time Relative,RMS Amp (U),SEL (dB FS),SNR NIST Quick (dB),Sample Length (samples),Time 25% (s),Time 25% Rel.,Time 5% (s),Time 5% Rel.,Time 75% (s),Time 75% Rel.,Time 95% (s),Time 95% Rel.,Class,Sound type,Software,Confidence,x_m,y_m,z_m,x_err_low_m,x_err_high_m,x_err_span_m,y_err_low_m,y_err_high_m,y_err_span_m,z_err_low_m,z_err_high_m,z_err_span_m,tdoa_sec,tdoa_errors_std_sec,best_freq_band_hz,corr_val,selec.file,s,t,n,source_selection_file,a,Edits
1283,Spectrogram 1,1,1668.7,1668.8,0.1,398.438,734.375,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,1668.7,AMAR173.4.20220821T000710Z.wav,5.148,,4.794,-74.86,117.188,289.062,0:34:58.7000,2022/8/21,2022/8/21  0:34:58.7000,53398400.0,0.0,53398400.0,570.312,1668.768,0.6667,335.938,,0.064,0.096,0:34:58.8000,2022/8/21,AMAR173.4.20220821T000710Z.wav,53401600.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,53401600.0,-22.299,,500.0,421.875,617.188,710.938,445.312;421.875;421.875;421.875,546.875;500.000;500.000;476.562,617.188;562.500;554.688;562.500,640.625;609.375;593.750;609.375,718.750;687.500;679.688;726.562,-58.42,4.0,,,,5.031,507.812,1668.768,,4.578,,,,507.812,617.188;507.812;507.812;593.750,-0.244,617.188,2.686,507.812,-3.418,1.0,-3.418;0.000;2.686,,-67.29,1668.768,0.6667,,,13.04,3201.0,1668.736,0.3333,1668.704,0.0,1668.8,1.0,1668.8,1.0,,,BlobDetector,0.0,-0.299999999999998,0.480000000000003,-0.659999999999999,-0.639999999999998,0.0600000000000027,0.700000000000001,2.66453525910038e-15,0.800000000000003,0.800000000000001,-1.02,-0.139999999999999,0.880000000000001,[ 0.000688  0.000658  0.000393 -0.000346  0.000981],0.0002838112558378,"[398.4375, 734.375]",[0.77370779 0.80056736 0.57460442 0.56107247 0.65004199],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
1364,Spectrogram 1,1,249.34,249.39,0.05,0.0,39.062,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,249.34,AMAR173.4.20220821T000710Z.wav,1.988,,1.907,-61.19,31.25,39.062,0:11:19.3400,2022/8/21,2022/8/21  0:11:19.3400,7978880.0,0.0,7978880.0,7.812,249.376,1.0,39.062,,0.032,0.032,0:11:19.3900,2022/8/21,AMAR173.4.20220821T000710Z.wav,7980480.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,7980479.0,-20.296,,0.0,0.0,31.25,39.062,0.000,0.000,7.812,31.250,39.062,-53.41,2.0,,,,2.063,0.0,249.344,,1.75,,,,0.0,0.000,,0.0,0.0,0.000,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0.0,,,-57.09,249.344,0.0,,,20.72,1600.0,249.344,0.0,249.344,0.0,249.376,1.0,249.376,1.0,,,BlobDetector,0.0,-0.259999999999998,0.0800000000000027,-0.619999999999999,-0.799999999999998,0.300000000000003,1.1,-0.579999999999998,0.580000000000003,1.16,-1.1,0.0600000000000014,1.16,[6.500e-05 1.178e-03 5.520e-04 0.000e+00 1.440e-03],0.0004756456582458,"[0.0, 39.0625]",[0.95408544 0.9009783  0.80463476 0.97136975 0.6919701 ],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
1377,Spectrogram 1,1,479.38,479.5,0.12,54.688,2007.812,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,479.38,AMAR173.4.20220821T000710Z.wav,6.446,,5.958,-67.77,570.312,1640.625,0:15:09.3800,2022/8/21,2022/8/21  0:15:09.3800,15340160.0,0.0,15340160.0,218.75,479.456,0.6667,1953.125,,0.032,0.096,0:15:09.5000,2022/8/21,AMAR173.4.20220821T000710Z.wav,15344000.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,15344000.0,-7.651,,171.875,85.938,742.188,1726.562,62.500;85.938;109.375;78.125,93.750;187.500;195.312;179.688,171.875;226.562;226.562;218.750,281.250;851.562;960.938;523.438,1453.125;1765.625;1773.438;1679.688,-43.77,4.0,,,,6.522,187.5,479.456,,5.351,,,,187.5,85.938;187.500;187.500;218.750,1.383,218.75,3.174,85.938,0.000,0.0,3.174;0.000;0.977,,-52.78,479.456,0.6667,,,16.48,3841.0,479.456,0.6667,479.392,0.0,479.488,1.0,479.488,1.0,,,BlobDetector,0.0,-0.439999999999998,0.760000000000003,-0.0599999999999987,-0.619999999999998,-0.239999999999998,0.38,0.580000000000003,0.940000000000003,0.36,-0.319999999999999,0.200000000000002,0.52,[ 3.75e-04  6.80e-04  9.35e-04 -4.00e-05  3.28e-04],0.0001371443265623,"[1519.53125, 2007.8125]",[0.89061945 0.83804569 0.77792178 0.78253917 0.74291541],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
1449,Spectrogram 1,1,530.53,530.61,0.08,187.5,437.5,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,530.53,AMAR173.4.20220821T000710Z.wav,4.06,,3.74,-68.94,93.75,210.938,0:16:00.5300,2022/8/21,2022/8/21  0:16:00.5300,16976960.0,0.0,16976960.0,210.938,530.592,1.0,250.0,,0.032,0.032,0:16:00.6100,2022/8/21,AMAR173.4.20220821T000710Z.wav,16979520.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,16979520.0,-20.637,,187.5,187.5,281.25,398.438,187.500,187.500,210.938,281.250,398.438,-53.75,2.0,,,,4.326,187.5,530.56,,3.153,,,,187.5,187.500,,187.5,0.0,187.500,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0.0,,,-58.84,530.56,0.0,,,11.53,2561.0,530.56,0.0,530.56,0.0,530.592,1.0,530.592,1.0,,,BlobDetector,0.0,-0.119999999999997,0.0600000000000027,-1.5,-0.399999999999998,0.300000000000003,0.700000000000001,-0.219999999999998,0.440000000000003,0.660000000000001,-1.5,-1.24,0.26,[-7.50e-05  2.05e-04 -1.60e-05 -1.27e-04  3.26e-04],0.0002148528428547,"[187.5, 437.5]",[0.87798355 0.84191072 0.70901214 0.80312974 0.65737483],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,f,d,,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
1704,Spectrogram 1,1,931.75,931.84,0.09,0.0,109.375,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,931.75,AMAR173.4.20220821T000710Z.wav,2.862,,2.804,-55.03,39.062,93.75,0:22:41.7500,2022/8/21,2022/8/21  0:22:41.7500,29816000.0,0.0,29816000.0,7.812,931.808,0.5,109.375,,0.064,0.064,0:22:41.8400,2022/8/21,AMAR173.4.20220821T000710Z.wav,29818880.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,29818880.0,-8.396,,0.0,0.0,39.062,93.75,0.000;0.000,0.000;0.000,7.812;7.812,39.062;39.062,93.750;93.750,-43.27,3.0,,,,2.861,0.0,931.84,,2.731,,,,0.0,0.000;0.000,0.0,0.0,0.0,0.000,0.000,0.0,0.000,,-47.46,931.84,1.0,,,17.42,2881.0,931.776,0.0,931.776,0.0,931.84,1.0,931.84,1.0,,,BlobDetector,0.0,0.880000000000003,0.920000000000003,-1.5,-0.119999999999997,1.76,1.88,-0.179999999999997,1.76,1.94,-1.5,-0.879999999999999,0.620000000000001,[ 2.83e-04  2.91e-04  0.00e+00  0.00e+00 -7.80e-05],0.0002771750519279,"[0.0, 109.375]",[0.98881827 0.9858525  0.98435409 0.9909167  0.99225043],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
1851,Spectrogram 1,1,768.92,769.0,0.08,0.0,31.25,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,768.92,AMAR173.4.20220821T000710Z.wav,1.848,,1.692,-69.23,15.625,31.25,0:19:58.9200,2022/8/21,2022/8/21  0:19:58.9200,24605440.0,0.0,24605440.0,7.812,768.96,0.5,31.25,,0.032,0.064,0:19:59.0000,2022/8/21,AMAR173.4.20220821T000710Z.wav,24608000.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,24608000.0,-27.367,,0.0,0.0,15.625,31.25,0.000;0.000,0.000;0.000,7.812;7.812,15.625;31.250,31.250;31.250,-62.24,3.0,,,,1.894,0.0,768.928,,1.459,,,,0.0,0.000;31.250,0.977,31.25,0.977,0.000,0.977,0.0,0.977,,-63.72,768.928,0.0,,,15.4,2561.0,768.928,0.0,768.928,0.0,768.96,0.5,768.992,1.0,,,BlobDetector,0.0,0.780000000000003,0.800000000000003,-1.5,0.320000000000003,1.26,0.94,0.340000000000003,1.3,0.960000000000001,-1.5,-1.22,0.28,[0.       0.000889 0.       0.       0.      ],0.0002226843460069,"[0.0, 31.25]",[0.92634757 0.61638891 0.93729137 0.96316922 0.91635841],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
2026,Spectrogram 1,1,1498.06,1498.14,0.08,460.938,585.938,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,1498.06,AMAR173.4.20220821T000710Z.wav,3.518,,3.368,-75.97,31.25,109.375,0:32:08.0600,2022/8/21,2022/8/21  0:32:08.0600,47937920.0,0.0,47937920.0,484.375,1498.112,1.0,125.0,,0.032,0.032,0:32:08.1400,2022/8/21,AMAR173.4.20220821T000710Z.wav,47940480.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,47940480.0,-30.548,,476.562,460.938,507.812,570.312,460.938,476.562,484.375,507.812,570.312,-63.66,2.0,,,,3.55,460.938,1498.112,,3.186,,,,460.938,460.938,,460.938,0.0,460.938,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0.0,,,-69.74,1498.112,1.0,,,14.33,2561.0,1498.08,0.0,1498.08,0.0,1498.112,1.0,1498.112,1.0,,,BlobDetector,0.0,0.0200000000000027,-0.0799999999999974,-0.439999999999999,-0.439999999999998,0.420000000000003,0.860000000000001,-0.519999999999998,0.340000000000003,0.860000000000001,-0.94,0.0600000000000014,1.0,[0.000744 0.00087  0.000178 0.000289 0.001505],0.0004345106074399,"[460.9375, 585.9375]",[0.67041496 0.51723702 0.65968748 0.63087639 0.5521735 ],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
2064,Spectrogram 1,1,770.19,770.28,0.09,0.0,62.5,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,770.19,AMAR173.4.20220821T000710Z.wav,1.786,,1.782,-60.05,7.812,46.875,0:20:00.1900,2022/8/21,2022/8/21  0:20:00.1900,24646080.0,0.0,24646080.0,7.812,770.24,0.5,62.5,,0.064,0.064,0:20:00.2800,2022/8/21,AMAR173.4.20220821T000710Z.wav,24648960.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T000710Z.wav,24648960.0,-15.633,,0.0,0.0,7.812,46.875,0.000;0.000,0.000;0.000,0.000;7.812,7.812;7.812,46.875;54.688,-50.51,3.0,,,,2.046,0.0,770.208,,1.414,,,,0.0,0.000;0.000,0.0,0.0,0.0,0.000,0.000,0.0,0.000,,-52.45,770.208,0.0,,,19.64,2881.0,770.208,0.0,770.208,0.0,770.272,1.0,770.272,1.0,,,BlobDetector,0.0,0.720000000000003,0.600000000000003,-1.5,0.160000000000003,1.3,1.14,0.100000000000003,1.16,1.06,-1.5,-1.16,0.34,[ 9.60e-05  4.36e-04 -1.70e-05  6.90e-05  6.00e-06],0.0002390124137023,"[0.0, 62.5]",[0.96227694 0.94447433 0.94443422 0.96272055 0.96287811],AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.txt,,,end,AMAR173.4.20220821T000710Z.wav.chan0.Table.1.selections.FS.txt,,
19,Spectrogram 1,1,194.19,194.28,0.09,0.0,31.25,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,194.19,AMAR173.4.20220821T003710Z.wav,1.627,,1.552,-60.11,7.812,31.25,0:40:24.1900,2022/8/21,2022/8/21  0:40:24.1900,6214080.0,0.0,6214080.0,0.0,194.24,0.5,31.25,,0.032,0.064,0:40:24.2800,2022/8/21,AMAR173.4.20220821T003710Z.wav,6216960.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,6216960.0,-18.242,,0.0,0.0,7.812,31.25,0.000;0.000,0.000;0.000,0.000;7.812,7.812;7.812,23.438;31.250,-53.12,3.0,,,,1.752,0.0,194.272,,1.356,,,,0.0,0.000;0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,-54.53,194.272,1.0,,,18.21,2881.0,194.24,0.5,194.208,0.0,194.272,1.0,194.272,1.0,,,BlobDetector,0.0,0.940000000000003,0.940000000000003,-1.5,0.180000000000003,1.72,1.54,0.160000000000003,1.7,1.54,-1.5,-1.0,0.5,[5.000e-06 1.275e-03 2.000e-06 3.000e-06 0.000e+00],0.0003262247130691,"[0.0, 31.25]",[0.959955   0.94834507 0.98991473 0.9814586  0.9729099 ],AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.FS.txt,,
351,Spectrogram 1,1,676.21,676.36,0.15,218.75,2007.812,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,676.21,AMAR173.4.20220821T003710Z.wav,4.511,,3.956,-65.11,187.5,875.0,0:48:26.2100,2022/8/21,2022/8/21  0:48:26.2100,21638720.0,0.0,21638720.0,359.375,676.288,0.5,1789.062,,0.064,0.128,0:48:26.3600,2022/8/21,AMAR173.4.20220821T003710Z.wav,21643520.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,21643520.0,-4.396,,351.562,328.125,539.062,1203.125,335.938;335.938;328.125;328.125,351.562;359.375;359.375;351.562,359.375;359.375;367.188;359.375,359.375;750.000;1054.688;359.375,757.812;1210.938;1226.562;914.062,-41.49,5.0,,,,5.841,359.375,676.352,,2.775,,,,359.375,359.375;359.375;359.375;359.375,0.0,359.375,0.0,359.375,0.0,0.0,0.000;0.000;0.000,,-45.78,676.352,1.0,,,16.11,4801.0,676.256,0.25,676.224,0.0,676.32,0.75,676.352,1.0,,,BlobDetector,0.0,-0.299999999999998,0.780000000000003,-0.699999999999999,-0.499999999999998,-0.0799999999999974,0.42,0.500000000000003,1.02,0.52,-0.96,-0.359999999999999,0.600000000000001,[ 0.000637  0.000594  0.00046  -0.000469  0.00061 ],0.0001634632930029,"[666.015625, 1113.28125]",[0.89409237 0.77866235 0.81332766 0.84889907 0.61520852],AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.FS.txt,,
441,Spectrogram 1,1,117.66,117.87,0.21,15.625,2007.812,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,117.66,AMAR173.4.20220821T003710Z.wav,6.091,,5.094,-63.58,289.062,843.75,0:39:07.6600,2022/8/21,2022/8/21  0:39:07.6600,3765120.0,0.0,3765120.0,257.812,117.76,0.5,1992.188,,0.032,0.16,0:39:07.8700,2022/8/21,AMAR173.4.20220821T003710Z.wav,3771840.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,3771840.0,-0.947,,101.562,46.875,390.625,890.625,39.062;46.875;85.938;93.750;85.938;31.250;46.875,85.938;93.750;226.562;242.188;226.562;54.688;85.938,93.750;101.562;312.500;328.125;265.625;93.750;93.750,109.375;445.312;414.062;398.438;382.812;257.812;117.188,992.188;1460.938;1234.375;851.562;617.188;671.875;695.312,-39.5,7.0,,,,5.958,250.0,117.76,,3.873,,,,250.0,93.750;93.750;250.000;250.000;257.812;85.938;93.750,0.0,257.812,4.883,85.938,-5.371,2.0,0.000;4.883;0.000;0.244;-5.371;0.244,,-47.77,117.76,0.5,,,18.43,6721.0,117.76,0.5,117.696,0.1667,117.792,0.6667,117.856,1.0,,,BlobDetector,0.0,-0.499999999999998,-0.639999999999998,-1.16,-0.519999999999998,-0.479999999999998,0.04,-0.659999999999998,-0.599999999999998,0.0600000000000001,-1.2,-1.1,0.1,[-5.59e-04  1.28e-04  4.00e-06  1.04e-04  8.07e-04],2.60698181420255e-05,"[15.625, 513.671875]",[0.83326288 0.52307973 0.91815039 0.86449984 0.78110362],AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.txt,e,,could be drum or water clapping,AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.FS.txt,,
744,Spectrogram 1,1,41.73,41.79,0.06,0.0,31.25,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,41.73,AMAR173.4.20220821T003710Z.wav,1.334,,1.334,-63.91,7.812,31.25,0:37:51.7300,2022/8/21,2022/8/21  0:37:51.7300,1335360.0,0.0,1335360.0,0.0,41.76,,31.25,,0.0,0.0,0:37:51.7900,2022/8/21,AMAR173.4.20220821T003710Z.wav,1337280.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,1337280.0,-26.813,,0.0,0.0,7.812,31.25,,,,,,-56.92,1.0,,,,1.334,0.0,41.76,,1.334,,,,0.0,,,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0,,,-59.74,41.76,,,,27.69,1921.0,41.76,,41.76,,41.76,,41.76,,,,BlobDetector,0.0,0.700000000000003,0.720000000000003,-1.5,0.260000000000003,1.16,0.900000000000001,0.280000000000003,1.2,0.920000000000001,-1.5,-1.24,0.26,[0.       0.000712 0.       0.       0.      ],0.0002150242522197,"[0.0, 31.25]",[0.83004514 0.92319815 0.84875713 0.95037493 0.82326399],AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.FS.txt,,
808,Spectrogram 1,1,1371.35,1371.45,0.1,328.125,867.188,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,1371.35,AMAR173.4.20220821T003710Z.wav,5.684,,5.443,-74.5,132.812,429.688,1:00:01.3500,2022/8/21,2022/8/21  1:00:01.3500,43883200.0,1.0,43883200.0,671.875,1371.424,1.0,539.062,,0.032,0.064,1:00:01.4500,2022/8/21,AMAR173.4.20220821T003710Z.wav,43886400.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,43886400.0,-21.171,,593.75,375.0,726.562,804.688,343.750;367.188;406.250,421.875;492.188;601.562,656.250;664.062;671.875,765.625;765.625;718.750,828.125;796.875;796.875,-56.04,3.0,,,,5.488,695.312,1371.424,,5.416,,,,695.312,796.875;796.875;695.312,-1.587,796.875,0.0,695.312,-3.174,0.0,0.000;-3.174,,-65.58,1371.424,1.0,,,13.36,3201.0,1371.392,0.5,1371.36,0.0,1371.424,1.0,1371.424,1.0,,,BlobDetector,0.0,-0.359999999999998,-0.339999999999998,-0.239999999999999,-0.879999999999998,0.200000000000003,1.08,-0.859999999999998,0.220000000000003,1.08,-0.919999999999999,0.360000000000002,1.28,[0.000124 0.000331 0.000607 0.000532 0.001828],0.0004585328943371,"[597.65625, 867.1875]",[0.74711335 0.90511108 0.91234878 0.89238986 0.50516666],AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.FS.txt,,
826,Spectrogram 1,1,57.32,57.36,0.04,0.0,93.75,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,57.32,AMAR173.4.20220821T003710Z.wav,2.661,,2.661,-57.83,46.875,93.75,0:38:07.3200,2022/8/21,2022/8/21  0:38:07.3200,1834240.0,0.0,1834240.0,7.812,57.344,,93.75,,0.0,0.0,0:38:07.3600,2022/8/21,AMAR173.4.20220821T003710Z.wav,1835520.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,1835520.0,-16.588,,0.0,0.0,46.875,93.75,,,,,,-46.69,1.0,,,,2.661,0.0,57.344,,2.661,,,,0.0,,,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0,,,-51.48,57.344,,,,18.98,1281.0,57.344,,57.344,,57.344,,57.344,,,,BlobDetector,0.0,0.600000000000003,0.640000000000003,-1.5,0.100000000000003,1.14,1.04,0.120000000000003,1.18,1.06,-1.5,-1.22,0.28,[-1.20e-05  5.64e-04  4.00e-06 -5.00e-06  0.00e+00],0.0002369282574128,"[0.0, 93.75]",[0.79804001 0.9078451  0.96902373 0.97752287 0.99185939],AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.FS.txt,,
853,Spectrogram 1,1,667.72,667.78,0.06,468.75,515.625,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,667.72,AMAR173.4.20220821T003710Z.wav,2.099,,2.061,-77.41,23.438,46.875,0:48:17.7200,2022/8/21,2022/8/21  0:48:17.7200,21367040.0,0.0,21367040.0,468.75,667.776,1.0,46.875,,0.032,0.032,0:48:17.7800,2022/8/21,AMAR173.4.20220821T003710Z.wav,21368960.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220821T003710Z.wav,21368960.0,-35.842,,468.75,468.75,492.188,515.625,468.750,468.750,468.750,492.188,515.625,-68.96,2.0,,,,2.109,468.75,667.776,,2.012,,,,468.75,468.750,,468.75,0.0,468.75,1.7976931348623157e+308,0.0,,,-70.26,667.776,1.0,,,16.41,1921.0,667.744,0.0,667.744,0.0,667.776,1.0,667.776,1.0,,,BlobDetector,0.0,-0.359999999999998,0.0600000000000027,-0.0399999999999987,-0.779999999999998,0.300000000000003,1.08,-0.459999999999998,0.460000000000003,0.920000000000001,-0.779999999999999,0.440000000000002,1.22,[0.000479 0.000589 0.001457 0.000308 0.001458],0.000451684023129,"[468.75, 515.625]",[0.57468885 0.72888239 0.69551664 0.57635829 0.77796314],AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220821T003710Z.wav.chan0.Table.1.selections.FS.txt,,
